PRUEBA,ZOOM,MODEL,BATCH_SIZE,EPOCH,MEAN_IOU,RUN_TIME
1,13_SIMPLE,FC-DenseNet56,1,50,0.23682005491592625,1704
2,13_SIMPLE,FC-DenseNet56,1,70,0.27895862748100736,1868
3,13_SIMPLE,Encoder-Decoder,1,70,0.11598873587185834,1919
4,13_SIMPLE,Encoder-Decoder,2,70,0.1345924529875566,1708
5,13_SIMPLE,Encoder-Decoder-Skip,1,70,0.2761932696745564,2489
6,13_SIMPLE,Encoder-Decoder-Skip,2,70,0.2713706854884465,1987
7,13_SIMPLE,FRRN-A,1,70,0.235415467653839,2595
8,13_SIMPLE,MobileUNet,1,70,0.07966989768315261,1085
9,13_SIMPLE,MobileUNet,2,70,0.08716860214060095,1139
10,13_SIMPLE,MobileUNet-Skip,1,70,0.2334202791075662,936
11,13_SIMPLE,MobileUNet-Skip,2,70,0.20205263193434744,919
1,13_COMPOUND,FC-DenseNet56,1,50,0.2527049828833956,1353
2,13_COMPOUND,FC-DenseNet56,1,70,0.25744381136932665,2001
3,13_COMPOUND,Encoder-Decoder,1,70,0.12453275455254295,1965
4,13_COMPOUND,Encoder-Decoder,2,70,0.12649087729601513,2055
5,13_COMPOUND,Encoder-Decoder-Skip,1,70,0.2881029715360486,2090
6,13_COMPOUND,Encoder-Decoder-Skip,2,70,0.2802036148773443,1709
7,13_COMPOUND,FRRN-A,1,70,0.22034357044696595,1681
8,13_COMPOUND,MobileUNet,1,70,0.09425874037785573,902
9,13_COMPOUND,MobileUNet,2,70,0.09972127428035596,812
10,13_COMPOUND,MobileUNet-Skip,1,70,0.21902649116911616,1359
11,13_COMPOUND,MobileUNet-Skip,2,70,0.21084788021200826,878
1,14_SIMPLE,FC-DenseNet56,1,50,0.2938317046186801,3046
2,14_SIMPLE,FC-DenseNet56,1,70,0.3023016352681203,3527
3,14_SIMPLE,Encoder-Decoder,1,70,0.20890718645325865,3479
4,14_SIMPLE,Encoder-Decoder,2,70,0.21692107063053387,3047
5,14_SIMPLE,Encoder-Decoder-Skip,1,70,0.2981944746994202,4533
6,14_SIMPLE,Encoder-Decoder-Skip,2,70,0.2851222880107403,3239
7,14_SIMPLE,FRRN-A,1,70,0.28109681350792204,4287
8,14_SIMPLE,MobileUNet,1,70,0.1482030485148598,2275
9,14_SIMPLE,MobileUNet,2,70,0.16553425619136866,2024
10,14_SIMPLE,MobileUNet-Skip,1,70,0.2870551435586611,2216
11,14_SIMPLE,MobileUNet-Skip,2,70,0.2719653440990327,2150
1,14_COMPOUND,FC-DenseNet56,1,50,0.30123523799908386,2542
2,14_COMPOUND,FC-DenseNet56,1,70,0.3162539702981586,3528
3,14_COMPOUND,Encoder-Decoder,1,70,0.2162806787680684,4527
4,14_COMPOUND,Encoder-Decoder,2,70,0.2056271336457709,3240
5,14_COMPOUND,Encoder-Decoder-Skip,1,70,0.2878057708349731,3476
6,14_COMPOUND,Encoder-Decoder-Skip,2,70,0.2935724840431113,3121
7,14_COMPOUND,FRRN-A,1,70,0.2756183754270343,3807
8,14_COMPOUND,MobileUNet,1,70,0.15844931802511225,2922
9,14_COMPOUND,MobileUNet,2,70,0.17303929034925622,2224
10,14_COMPOUND,MobileUNet-Skip,1,70,0.2908989296259695,2264
11,14_COMPOUND,MobileUNet-Skip,2,70,0.2683867952353899,2168
1,15_SIMPLE,FC-DenseNet56,1,50,0.32028808077440923,6817
2,15_SIMPLE,FC-DenseNet56,1,70,0.34508586015468234,9591
3,15_SIMPLE,Encoder-Decoder,1,70,0.2539343927130602,9336
4,15_SIMPLE,Encoder-Decoder,2,70,0.25665434197266057,9693
5,15_SIMPLE,Encoder-Decoder-Skip,1,70,0.34291215590655033,11377
6,15_SIMPLE,Encoder-Decoder-Skip,2,70,0.32514523990409244,7812
7,15_SIMPLE,FRRN-A,1,70,0.3248704501175135,11479
8,15_SIMPLE,MobileUNet,1,70,0.2265454958736529,7022
9,15_SIMPLE,MobileUNet,2,70,0.23098609718031216,6585
10,15_SIMPLE,MobileUNet-Skip,1,70,0.3293429040912348,7759
11,15_SIMPLE,MobileUNet-Skip,2,70,0.302835288183026,6655
1,15_COMPOUND,FC-DenseNet56,1,50,0.3255801276925244,7199
2,15_COMPOUND,FC-DenseNet56,1,70,0.34783605595694456,9592
3,15_COMPOUND,Encoder-Decoder,1,70,0.2645681648062726,9704
4,15_COMPOUND,Encoder-Decoder,2,70,0.2425605140881061,7909
5,15_COMPOUND,Encoder-Decoder-Skip,1,70,0.3285302208171073,9558
6,15_COMPOUND,Encoder-Decoder-Skip,2,70,0.3283559075975394,8244
7,15_COMPOUND,FRRN-A,1,70,0.32569512517119475,11659
8,15_COMPOUND,MobileUNet,1,70,0.23137372465121164,7151
9,15_COMPOUND,MobileUNet,2,70,0.2286162669938113,6573
10,15_COMPOUND,MobileUNet-Skip,1,70,0.3296992594032768,7789
11,15_COMPOUND,MobileUNet-Skip,2,70,0.30549790479445965,7145
